#A	0.001 T/s
-1.1595	-0.98985
-1.1591	-0.98893
-1.1587	-0.98964
-1.1582	-0.98983
-1.1578	-0.98958
-1.1574	-0.99181
-1.1570	-0.99051
-1.1565	-0.99100
-1.1561	-0.99207
-1.1557	-0.99206
-1.1553	-0.99211
-1.1548	-0.99311
-1.1544	-0.99304
-1.1540	-0.99309
-1.1536	-0.99541
-1.1531	-0.99449
-1.1527	-0.99516
-1.1523	-0.99581
-1.1519	-0.99587
-1.1514	-0.99647
-1.1510	-0.99569
-1.1506	-0.99667
-1.1501	-0.99795
-1.1497	-0.99790
-1.1493	-0.99766
-1.1489	-0.99723
-1.1484	-0.99827
-1.1480	-0.99826
-1.1476	-0.98432
-1.1472	-0.98609
-1.1467	-0.98610
-1.1463	-0.98614
-1.1459	-0.98631
-1.1455	-0.98785
-1.1450	-0.98768
-1.1446	-0.98794
-1.1442	-0.98889
-1.1438	-0.99070
-1.1433	-0.99014
-1.1429	-0.99152
-1.1425	-0.99133
-1.1421	-0.99159
-1.1416	-0.99130
-1.1412	-0.99216
-1.1408	-0.99435
-1.1404	-0.99411
-1.1399	-0.99373
-1.1395	-0.99447
-1.1391	-0.99635
-1.1386	-0.99449
-1.1382	-0.99579
-1.1378	-0.99570
-1.1374	-0.99628
-1.1369	-0.99632
-1.1365	-0.99660
-1.1361	-0.99814
-1.1357	-0.99713
-1.1352	-0.99879
-1.1348	-0.99821
-1.1344	-0.99935
-1.1340	-0.99442
-1.1335	-0.98615
-1.1331	-0.98845
-1.1327	-0.98764
-1.1323	-0.98743
-1.1318	-0.98846
-1.1314	-0.98881
-1.1310	-0.98931
-1.1306	-0.99014
-1.1301	-0.98982
-1.1297	-0.99026
-1.1293	-0.99133
-1.1288	-0.99043
-1.1284	-0.99375
-1.1280	-0.99251
-1.1276	-0.99325
-1.1271	-0.99261
-1.1267	-0.99371
-1.1263	-0.99407
-1.1259	-0.99398
-1.1254	-0.99569
-1.1250	-0.99530
-1.1246	-0.99766
-1.1242	-0.99633
-1.1237	-0.99614
-1.1233	-0.99761
-1.1229	-0.99827
-1.1225	-0.99820
-1.1220	-0.99953
-1.1216	-0.99798
-1.1212	-0.99933
-1.1208	-0.99944
-1.1203	-0.99947
-1.1199	-0.98640
-1.1195	-0.98753
-1.1191	-0.98732
-1.1186	-0.98672
-1.1182	-0.98775
-1.1178	-0.99023
-1.1173	-0.98854
-1.1169	-0.98958
-1.1165	-0.98919
-1.1161	-0.99014
-1.1156	-0.99008
-1.1152	-0.99114
-1.1148	-0.99160
-1.1144	-0.99056
-1.1139	-0.99237
-1.1135	-0.99183
-1.1131	-0.99271
-1.1127	-0.99353
-1.1122	-0.99311
-1.1118	-0.99401
-1.1114	-0.99351
-1.1110	-0.99413
-1.1105	-0.99526
-1.1101	-0.99494
-1.1097	-0.99489
-1.1092	-0.99639
-1.1088	-0.99703
-1.1084	-0.99688
-1.1080	-0.99689
-1.1075	-0.99745
-1.1071	-0.99663
-1.1067	-0.99791
-1.1063	-0.99961
-1.1058	-0.98452
-1.1054	-0.98461
-1.1050	-0.98499
-1.1046	-0.98740
-1.1041	-0.98649
-1.1037	-0.98704
-1.1033	-0.98842
-1.1029	-0.98785
-1.1024	-0.98830
-1.1020	-0.98859
-1.1016	-0.98970
-1.1012	-0.98967
-1.1007	-0.99015
-1.1003	-0.98988
-1.0999	-0.98984
-1.0994	-0.99112
-1.0990	-0.99181
-1.0986	-0.99142
-1.0982	-0.99295
-1.0977	-0.99159
-1.0973	-0.99253
-1.0969	-0.99323
-1.0965	-0.99398
-1.0960	-0.99389
-1.0956	-0.99537
-1.0952	-0.99424
-1.0948	-0.99624
-1.0943	-0.99610
-1.0939	-0.99691
-1.0935	-0.99650
-1.0931	-0.99660
-1.0926	-0.99791
-1.0922	-0.99809
-1.0918	-0.98468
-1.0914	-0.98545
-1.0909	-0.98555
-1.0905	-0.98560
-1.0901	-0.98595
-1.0897	-0.98629
-1.0892	-0.98679
-1.0888	-0.98789
-1.0884	-0.98909
-1.0879	-0.98976
-1.0875	-0.98999
-1.0871	-0.99034
-1.0867	-0.99113
-1.0862	-0.99088
-1.0858	-0.99189
-1.0854	-0.99179
-1.0850	-0.99146
-1.0845	-0.99233
-1.0841	-0.99350
-1.0837	-0.99268
-1.0833	-0.99350
-1.0828	-0.99379
-1.0824	-0.99480
-1.0820	-0.99475
-1.0816	-0.99522
-1.0811	-0.99652
-1.0807	-0.99770
-1.0803	-0.99687
-1.0799	-0.99900
-1.0794	-0.99757
-1.0790	-0.99954
-1.0786	-0.99875
-1.0781	-0.99998
-1.0777	-0.98561
-1.0773	-0.98752
-1.0769	-0.98726
-1.0764	-0.98852
-1.0760	-0.98873
-1.0756	-0.99081
-1.0752	-0.98981
-1.0747	-0.98774
-1.0743	-0.99015
-1.0739	-0.99085
-1.0735	-0.99123
-1.0730	-0.99383
-1.0726	-0.99194
-1.0722	-0.99300
-1.0718	-0.99389
-1.0713	-0.99320
-1.0709	-0.99394
-1.0705	-0.99517
-1.0701	-0.99426
-1.0696	-0.99541
-1.0692	-0.99428
-1.0688	-0.99630
-1.0683	-0.99675
-1.0679	-0.99691
-1.0675	-0.99705
-1.0671	-0.99638
-1.0666	-0.99731
-1.0662	-0.99699
-1.0658	-0.99745
-1.0654	-0.99907
-1.0649	-0.99975
-1.0645	-0.99938
-1.0641	-1.0011
-1.0637	-0.98750
-1.0632	-0.98700
-1.0628	-0.98763
-1.0624	-0.98735
-1.0620	-0.98723
-1.0615	-0.98692
-1.0611	-0.98932
-1.0607	-0.98878
-1.0603	-0.98988
-1.0598	-0.99086
-1.0594	-0.98988
-1.0590	-0.99099
-1.0585	-0.99191
-1.0581	-0.99094
-1.0577	-0.99146
-1.0573	-0.99074
-1.0568	-0.99357
-1.0564	-0.99360
-1.0560	-0.99279
-1.0556	-0.99599
-1.0551	-0.99486
-1.0547	-0.99392
-1.0543	-0.99487
-1.0539	-0.99531
-1.0534	-0.99467
-1.0530	-0.99667
-1.0526	-0.99675
-1.0522	-0.99679
-1.0517	-0.99663
-1.0513	-0.99751
-1.0509	-0.99687
-1.0504	-0.99815
-1.0500	-0.99849
-1.0496	-0.98566
-1.0492	-0.98576
-1.0487	-0.98605
-1.0483	-0.98521
-1.0479	-0.98761
-1.0475	-0.98633
-1.0470	-0.98629
-1.0466	-0.98739
-1.0462	-0.98806
-1.0458	-0.98888
-1.0453	-0.98980
-1.0449	-0.98852
-1.0445	-0.98763
-1.0441	-0.98943
-1.0436	-0.98922
-1.0432	-0.99040
-1.0428	-0.99094
-1.0424	-0.99089
-1.0419	-0.99147
-1.0415	-0.99188
-1.0411	-0.99162
-1.0407	-0.99300
-1.0402	-0.99324
-1.0398	-0.99276
-1.0394	-0.99210
-1.0389	-0.99184
-1.0385	-0.99437
-1.0381	-0.99265
-1.0377	-0.99528
-1.0372	-0.99483
-1.0368	-0.99543
-1.0364	-0.99632
-1.0360	-0.99280
-1.0355	-0.98541
-1.0351	-0.98412
-1.0347	-0.98573
-1.0343	-0.98948
-1.0338	-0.98989
-1.0334	-0.98884
-1.0330	-0.99129
-1.0326	-0.99008
-1.0321	-0.99163
-1.0317	-0.98971
-1.0313	-0.98973
-1.0309	-0.98963
-1.0304	-0.99261
-1.0300	-0.99208
-1.0296	-0.99284
-1.0291	-0.99268
-1.0287	-0.99228
-1.0283	-0.99418
-1.0279	-0.99279
-1.0274	-0.99331
-1.0270	-0.99283
-1.0266	-0.99398
-1.0262	-0.99438
-1.0257	-0.99516
-1.0253	-0.99553
-1.0249	-0.99544
-1.0245	-0.99476
-1.0240	-0.99673
-1.0236	-0.99806
-1.0232	-0.99788
-1.0228	-0.99783
-1.0223	-0.99826
-1.0219	-0.98617
-1.0215	-0.98656
-1.0211	-0.98660
-1.0206	-0.98753
-1.0202	-0.98530
-1.0198	-0.98786
-1.0194	-0.98885
-1.0189	-0.98866
-1.0185	-0.98934
-1.0181	-0.99056
-1.0176	-0.99153
-1.0172	-0.99080
-1.0168	-0.99084
-1.0164	-0.99145
-1.0159	-0.99181
-1.0155	-0.99104
-1.0151	-0.99386
-1.0147	-0.99356
-1.0142	-0.99385
-1.0138	-0.99401
-1.0134	-0.99452
-1.0130	-0.99515
-1.0125	-0.99482
-1.0121	-0.99378
-1.0117	-0.99517
-1.0113	-0.99653
-1.0108	-0.99578
-1.0104	-0.99780
-1.0100	-0.99747
-1.0095	-0.99723
-1.0091	-0.99630
-1.0087	-0.99711
-1.0083	-0.99723
-1.0078	-0.98617
-1.0074	-0.98500
-1.0070	-0.98654
-1.0066	-0.98613
-1.0061	-0.98762
-1.0057	-0.98832
-1.0053	-0.98785
-1.0049	-0.98924
-1.0044	-0.98802
-1.0040	-0.99045
